index	prefix	engaligns	greekaligns
1	[(2nd sg imperative)you-sg] 	['1:1.1:Sing']	['1:1.1:ἄειδε']
2		['1:1.1:goddess']	['1:1.1:θεὰ']
3		['1:1.1:godlike', '1:1.1:wrath']	['1:1.1:μῆνιν']
4		['1:1.1:of', '1:1.1:Achilles']	['1:1.1:Ἀχιλῆος']
5		['1:1.1:son', '1:1.1:of[2]', '1:1.1:Peleus']	['1:1.1:Πηληϊάδεω']
6		['1:1.2:sociopathic']	['1:1.2:οὐλομένην']
7		['1:1.2:that[2]']	['1:1.2:ἣ']
8	[it] 	['1:1.2:caused']	['1:1.2:ἔθηκε']
9		['1:1.2:countless']	["1:1.2:μυρί'"]
10		['1:1.2:pains']	["1:1.2:ἄλγε'"]
11		['1:1.2:for', '1:1.2:Achaeans']	['1:1.2:Ἀχαιοῖς']
12	[it] 	['1:1.3:hurled']	['1:1.3:προΐαψεν']
13		['1:1.3:to', '1:1.3:Hades']	['1:1.3:Ἄϊδι']
14		['1:1.3:many']	['1:1.3:πολλὰς']
15		['1:1.3:precious']	['1:1.3:ἰφθίμους']
16		['1:1.3:lives']	['1:1.3:ψυχὰς']
17		['1:1.4:of', '1:1.4:warriors']	['1:1.4:ἡρώων']
18		['1:1.4:And']	['1:1.4:δὲ']
19	[it] 	['1:1.4:began', '1:1.4:to', '1:1.4:make']	['1:1.4:τεῦχε']
20		['1:1.4:bodies']	['1:1.4:αὐτοὺς']
21		['1:1.4:into', '1:1.4:picked-over', '1:1.4:scraps']	['1:1.4:ἑλώρια']
22		['1:1.4:for', '1:1.4:dogs']	['1:1.4:κύνεσσιν']
23		['1:1.5:and']	['1:1.5:τε']
24		['1:1.5:for', '1:1.5:birds']	['1:1.5:οἰωνοῖσί']
25		['1:1.5:all', '1:1.5:of', '1:1.5:them']	['1:1.5:πᾶσι']
26		['1:1.5:and[2]']	["1:1.5:δ'"]
27		['1:1.5:plan']	['1:1.5:βουλή']
28		['1:1.5:of[2]', '1:1.5:Zeus']	['1:1.5:Διὸς']
