index	prefix	engaligns	greekaligns
1		['2:5.1:Dawn']	['2:5.1:Ἠὼς']
2		['2:5.1:out', '2:5.1:of']	['2:5.1:ἐκ']
3		['2:5.1:bed']	['2:5.1:λεχέων']
4		['2:5.1:from', '2:5.1:beside']	["2:5.1:παρ'"]
5		['2:5.1:noble']	['2:5.1:ἀγαυοῦ']
6		['2:5.1:Tithonus']	['2:5.1:Τιθωνοῖο']
7	[she] 	['2:5.2:began', '2:5.2:to', '2:5.2:rouse', '2:5.2:herself']	["2:5.2:ὤρνυθ'"]
8		['2:5.2:so', '2:5.2:that']	["2:5.2:ἵν'"]
9	[she] 	['2:5.2:might', '2:5.2:carry']	['2:5.2:φέροι']
10		['2:5.2:light']	['2:5.2:φόως']
11		['2:5.2:to[2]', '2:5.2:undying']	['2:5.2:ἀθανάτοισι']
12		['2:5.2:and']	['2:5.2:ἠδὲ']
13		['2:5.2:to[3]', '2:5.2:mortals']	['2:5.2:βροτοῖσιν']
14		['2:5.3:The']	['2:5.3:οἱ']
15		['2:5.3:gods']	['2:5.3:θεοὶ']
16	[they] 	['2:5.3:started', '2:5.3:to', '2:5.3:take', '2:5.3:their', '2:5.3:seats']	['2:5.3:καθίζανον']
17		['2:5.3:in', '2:5.3:their[2]', '2:5.3:places']	['2:5.3:θῶκόνδε']
18		['2:5.3:and']	["2:5.3:δ'"]
19		['2:5.3:among']	['2:5.3:ἐν']
20		['2:5.3:them']	['2:5.3:τοῖσι']
21		['2:5.3:then']	['2:5.3:ἄρα']
22		['2:5.4:Zeus']	['2:5.4:Ζεὺς']
23		['2:5.4:who', '2:5.4:thunders', '2:5.4:on', '2:5.4:high']	['2:5.4:ὑψιβρεμέτης']
24		['2:5.4:and']	['2:5.4:τε']
25		['2:5.4:whose']	['2:5.4:οὗ']
26		['2:5.4:power']	['2:5.4:κράτος']
27	[it] 	['2:5.4:is']	['2:5.4:ἐστὶ']
28		['2:5.4:greatest']	['2:5.4:μέγιστον']
29		['2:5.5:To', '2:5.5:them']	['2:5.5:τοῖσι']
30		['2:5.5:Athena']	['2:5.5:Ἀθηναίη']
